42.2967524943,301.973244439,1937+21,17,16
-15.1554908489,284.2208635892,1909-3744,39,2
30.7003615755,256.6686931947,1713+0747,65,1
11.8052036596,266.1193955633,1744-1134,94,10
-10.0718365512,244.3476776363,1600-3053,104,4
33.9643261863,318.8684885378,2043+1711,104,8
17.6802305768,356.1294054413,2317+1439,113,3
37.2112011266,264.3646810649,1741+1351,117,11
25.0444945101,308.2611797758,2017+0603,143,99
6.3091085925,9.070397837,0023+0923,149,99
32.3214877555,286.8634893301,1855+09,195,13
44.0585200392,243.9890885264,1640+2224,202,5
37.7131533037,348.8091354948,2214+3000,202,99
35.1072279336,291.0414149339,1910+1256,226,99
46.6962060714,297.9809559344,1923+2515,242,99
26.8842353502,264.0949091247,1738+0333,243,99
-25.4071326875,93.7990065496,0613-0200,255,12
1.4456961894,8.9103563069,0030+0451,263,9
28.8526442215,98.0585462865,0645+5158,305,17
38.7553210337,133.3610920919,1012+5307,329,18
-1.2567951797,245.7882904022,1614-2230,413,6
15.3510634384,290.3146401107,1918-0642,474,7
-16.0447987688,231.3475365691,1455-3330,562,15
6.4909500719,301.9244871726,2010-1323,773,14
